Date,Product_Name,Category,Quantity_Sold,Price,Revenue,Region,Customer_Type
10/19/2025,Ibuprofen,Pain Relief,217,8,1736,East,Hospital
8/21/2025,Amoxicillin,Antibiotic,176,20,3520,North,Retail
5/11/2025,Amoxicillin,Antibiotic,227,20,4540,East,Clinic
12/22/2025,Azithromycin,Antibiotic,129,25,3225,North,Retail
4/18/2025,Omeprazole,Gastro,19,12,228,North,Hospital
5/25/2025,Omeprazole,Gastro,83,12,996,South,Clinic
5/14/2025,Azithromycin,Antibiotic,225,25,5625,South,Hospital
9/1/2025,Azithromycin,Antibiotic,188,25,4700,East,Retail
1/20/2025,Cetirizine,Allergy,143,6,858,West,Hospital
1/4/2025,Omeprazole,Gastro,63,12,756,West,Hospital
8/2/2025,Metformin,Diabetes,234,15,3510,East,Clinic
8/7/2025,Paracetamol,Tablet,212,5,1060,South,Clinic
12/23/2025,Metformin,Diabetes,12,15,180,West,Hospital
3/24/2025,Amoxicillin,Antibiotic,63,20,1260,South,Clinic
3/2/2025,Metformin,Diabetes,124,15,1860,South,Retail
5/8/2025,Cetirizine,Allergy,114,6,684,South,Retail
11/1/2025,Ibuprofen,Pain Relief,115,8,920,West,Clinic
3/18/2025,Cetirizine,Allergy,234,6,1404,East,Hospital
3/11/2025,Insulin,Diabetes,96,50,4800,South,Clinic
8/12/2025,Paracetamol,Tablet,101,5,505,North,Hospital
10/10/2025,Ibuprofen,Pain Relief,106,8,848,North,Retail
5/8/2025,Vitamin C,Supplement,156,10,1560,South,Hospital
10/28/2025,Cetirizine,Allergy,164,6,984,East,Retail
9/14/2025,Paracetamol,Tablet,160,5,800,North,Clinic
6/20/2025,Omeprazole,Gastro,59,12,708,North,Clinic
4/8/2025,Ibuprofen,Pain Relief,137,8,1096,North,Hospital
5/5/2025,Insulin,Diabetes,130,50,6500,North,Clinic
5/6/2025,Ibuprofen,Pain Relief,224,8,1792,East,Retail
12/15/2025,Ibuprofen,Pain Relief,155,8,1240,East,Hospital
2/26/2025,Cetirizine,Allergy,198,6,1188,West,Retail
